crop,maturity_stage,hours_since_harvest,temperature_c,humidity_percent,ethylene_ppm,voc_index,co2_ppm,weight_loss_percent,spoilage_risk
Onion,Unripe,1,22.67,59.26,0.795,1.63,444.9,2.64,Low
Banana,Unripe,62,26.4,84.5,1.065,3.083,365.9,3.49,Low
Tomato,Ripe,77,24.02,81.52,1.706,0.87,451.3,4.92,Low
Mango,Unripe,230,22.0,68.34,0.301,1.303,735.9,3.01,Medium
Onion,Unripe,67,29.04,62.69,1.052,1.767,533.1,2.2,Low
Brinjal,Unripe,66,28.57,81.5,1.046,2.996,429.7,3.6,Low
Onion,Unripe,65,19.85,56.08,3.683,2.741,379.3,0.11,Low
Brinjal,Ripe,60,26.51,72.7,0.421,3.636,308.2,0.24,Low
Brinjal,Semi-Ripe,130,30.98,95.0,0.766,1.486,400.4,2.58,Low
Mango,Ripe,49,31.24,70.46,0.522,1.427,591.1,1.03,Low
Onion,Semi-Ripe,70,31.1,58.69,0.485,3.076,448.8,2.72,Low
Brinjal,Semi-Ripe,128,27.16,72.92,2.202,1.621,385.0,4.98,Low
Mango,Ripe,182,23.62,62.36,1.019,1.836,398.2,6.03,Low
Mango,Unripe,25,22.67,51.27,0.678,0.458,577.9,6.06,Low
Brinjal,Unripe,83,28.38,76.41,0.696,2.82,490.2,3.46,Low
Mango,Unripe,137,28.52,81.41,0.674,4.195,424.7,4.42,Medium
Brinjal,Ripe,220,32.15,64.27,0.718,1.368,463.0,5.1,Medium
Banana,Ripe,227,31.4,63.47,0.413,3.624,764.7,5.8,Medium
Mango,Semi-Ripe,210,26.47,56.46,0.834,2.435,646.4,5.74,Medium
Tomato,Ripe,121,22.02,66.2,0.778,0.558,676.2,5.61,Medium
Brinjal,Semi-Ripe,23,25.72,61.25,0.588,1.516,300.0,4.43,Low
Mango,Unripe,232,27.87,55.87,1.115,1.448,481.9,6.22,Medium
Banana,Unripe,149,26.19,90.71,1.183,2.152,422.6,7.01,Medium
Mango,Unripe,218,24.69,73.6,0.677,2.961,565.3,5.16,Medium
Tomato,Ripe,221,28.01,74.87,0.904,4.534,627.2,4.05,Medium
Tomato,Unripe,190,24.98,78.6,4.531,0.926,539.2,3.97,Medium
Onion,Semi-Ripe,101,24.49,77.25,4.412,1.967,395.3,3.52,Low
Mango,Semi-Ripe,146,28.25,63.04,0.478,1.514,420.7,2.3,Low
Banana,Unripe,166,25.39,71.27,0.527,1.105,574.5,3.39,Low
Banana,Unripe,212,27.98,64.77,0.476,2.605,586.4,2.99,Medium
Mango,Ripe,54,28.09,73.26,2.096,2.502,516.9,3.77,Low
Onion,Ripe,133,22.44,72.1,0.757,0.505,515.6,4.73,Medium
Onion,Unripe,143,25.08,63.41,1.183,2.52,506.0,1.03,Low
Tomato,Unripe,49,32.75,52.05,4.047,1.174,532.3,1.91,Low
Tomato,Semi-Ripe,96,22.35,69.75,0.993,2.513,585.9,6.94,Low
Mango,Unripe,222,18.53,65.55,1.639,3.896,575.6,6.3,Medium
Tomato,Unripe,3,19.55,45.32,1.439,3.009,502.8,3.35,Low
Tomato,Ripe,121,27.12,74.09,0.662,2.695,494.1,2.76,Low
Onion,Unripe,146,27.12,79.58,2.099,1.918,489.5,4.77,Low
Tomato,Ripe,218,26.53,95.0,0.552,2.574,406.4,5.09,Medium
Tomato,Ripe,68,31.86,63.31,2.555,3.12,404.8,1.88,Low
Mango,Unripe,94,16.31,61.54,0.663,3.011,565.3,2.74,Low
Banana,Semi-Ripe,19,28.58,54.69,0.716,2.391,414.5,1.88,Low
Banana,Ripe,80,33.25,70.5,0.467,2.739,597.7,0.78,Low
Brinjal,Semi-Ripe,240,22.49,70.43,0.524,1.052,493.8,3.0,Medium
Brinjal,Unripe,184,25.48,58.26,0.742,1.692,598.4,4.35,Low
Tomato,Ripe,103,23.99,65.9,0.182,3.278,576.4,2.21,Low
Brinjal,Unripe,152,23.42,44.26,0.849,3.426,601.2,3.78,Medium
Tomato,Unripe,232,25.69,79.12,0.701,2.603,442.8,2.39,Medium
Onion,Unripe,105,32.71,58.75,1.738,4.127,549.1,5.2,Low
Mango,Ripe,71,34.35,67.58,1.345,3.059,588.5,7.1,Medium
Onion,Unripe,211,25.66,50.88,0.609,2.244,313.8,6.88,Low
Onion,Unripe,204,34.62,61.01,0.725,1.158,704.2,6.98,Medium
Tomato,Unripe,124,27.14,64.64,0.849,4.083,771.9,5.12,Medium
Mango,Unripe,2,34.01,67.86,2.83,3.347,613.7,3.0,Low
Tomato,Ripe,3,26.63,73.76,0.562,4.478,596.7,2.69,Low
Onion,Ripe,28,27.52,85.27,0.604,4.884,570.7,1.19,Low
Banana,Ripe,167,28.46,76.79,0.454,1.084,461.2,5.75,Medium
Onion,Ripe,42,39.72,79.55,0.354,1.087,486.8,4.14,Low
Banana,Unripe,15,30.41,85.35,1.24,0.1,615.7,1.85,Low
Onion,Ripe,164,24.17,74.84,1.153,3.51,383.2,5.41,Medium
Banana,Unripe,115,30.88,67.56,2.455,3.222,372.7,2.63,Low
Tomato,Ripe,127,25.55,80.11,2.073,2.608,452.3,2.89,Medium
Banana,Semi-Ripe,46,25.04,80.88,5.355,1.151,578.8,4.45,Low
Brinjal,Unripe,51,30.63,75.78,0.95,2.402,396.1,3.89,Low
Onion,Semi-Ripe,58,27.12,50.54,0.833,2.703,473.0,2.78,Low
Onion,Semi-Ripe,155,28.11,57.9,0.402,3.361,487.2,3.73,Low
Banana,Ripe,236,27.06,64.7,1.628,2.8,378.6,5.65,Medium
Onion,Semi-Ripe,220,28.35,77.36,1.087,3.23,300.0,1.84,Medium
Onion,Unripe,27,28.7,67.74,1.578,2.363,376.8,1.46,Low
Onion,Unripe,163,19.25,81.64,0.451,3.8,531.3,2.18,Medium
Onion,Semi-Ripe,182,29.67,83.78,1.279,3.195,558.3,4.71,Low
Mango,Unripe,9,23.07,82.39,1.154,1.194,559.3,4.57,Low
Banana,Semi-Ripe,153,21.23,82.47,1.102,4.028,573.1,5.19,Medium
Tomato,Ripe,107,26.77,55.56,0.62,3.848,424.8,2.86,Low
Tomato,Ripe,47,27.34,73.79,2.299,3.012,399.1,1.79,Low
Onion,Semi-Ripe,190,24.23,60.71,4.201,2.809,545.0,3.42,Medium
Mango,Unripe,225,30.32,48.21,0.46,4.324,474.6,8.8,Medium
Banana,Semi-Ripe,144,21.63,64.55,1.656,0.703,608.8,4.35,Low
Mango,Unripe,48,25.37,83.9,0.133,3.865,545.8,3.44,Low
Onion,Ripe,103,24.66,73.53,1.597,1.976,654.1,0.0,Low
Onion,Unripe,124,26.81,92.21,0.27,3.705,444.1,1.86,Low
Brinjal,Unripe,217,28.12,70.13,0.692,2.632,628.1,5.02,Medium
Onion,Semi-Ripe,190,22.97,95.0,0.399,1.133,744.2,3.88,Medium
Banana,Semi-Ripe,161,29.9,70.13,0.86,1.954,506.4,4.67,Low
Tomato,Semi-Ripe,184,27.25,68.27,1.799,3.624,559.9,4.92,Medium
Brinjal,Semi-Ripe,167,19.43,52.65,0.272,2.269,388.3,5.58,Low
Tomato,Semi-Ripe,77,19.17,81.33,0.778,1.816,607.3,0.06,Low
Banana,Semi-Ripe,32,26.95,61.97,0.698,1.809,635.5,0.89,Low
Onion,Unripe,202,26.12,60.24,3.024,3.206,440.7,4.74,Medium
Tomato,Semi-Ripe,133,26.59,83.37,1.353,4.426,570.3,2.93,Medium
Banana,Unripe,231,26.89,81.9,0.439,0.145,533.7,4.71,Medium
Brinjal,Unripe,164,27.9,81.58,0.719,5.581,546.9,4.66,Medium
Brinjal,Semi-Ripe,114,30.79,63.65,2.972,2.724,597.4,2.53,Low
Banana,Ripe,155,22.56,67.39,1.649,3.138,562.3,4.71,Medium
Mango,Unripe,157,22.31,67.28,0.526,2.02,483.3,5.36,Low
Mango,Semi-Ripe,236,22.63,77.39,0.829,2.496,600.0,5.45,Medium
Tomato,Ripe,87,28.16,86.64,0.848,2.712,633.4,4.84,Medium
Brinjal,Ripe,91,31.98,72.42,0.686,1.346,433.5,0.0,Low
Mango,Ripe,85,25.27,91.7,0.302,1.614,499.8,2.47,Low
Brinjal,Semi-Ripe,26,16.99,78.77,0.622,3.803,300.0,4.42,Low
Tomato,Unripe,113,20.18,65.18,2.644,0.792,570.0,2.3,Low
Mango,Semi-Ripe,107,23.67,77.94,0.766,2.985,646.8,1.98,Low
Mango,Semi-Ripe,47,24.77,88.47,0.93,2.092,469.1,2.84,Low
Brinjal,Semi-Ripe,196,25.37,91.98,1.103,1.443,516.0,4.82,Medium
Tomato,Unripe,166,27.15,82.24,4.724,4.669,473.6,3.53,Medium
Banana,Ripe,58,25.75,68.31,1.006,1.45,453.9,6.51,Low
Banana,Ripe,39,31.2,65.4,2.151,1.257,527.9,3.48,Low
Mango,Unripe,148,24.3,74.91,0.658,2.294,405.9,2.65,Low
Brinjal,Semi-Ripe,1,23.55,88.09,0.834,1.655,471.8,0.0,Low
Onion,Unripe,36,28.92,73.21,1.009,2.507,391.5,3.66,Low
Tomato,Unripe,105,20.86,73.45,0.582,2.671,570.7,2.09,Low
Onion,Ripe,238,28.56,68.62,0.867,2.758,528.7,9.23,Medium
Onion,Ripe,18,27.41,64.07,1.862,2.364,448.3,3.49,Low
Onion,Semi-Ripe,127,26.41,66.05,0.571,1.728,504.4,5.03,Low
Tomato,Unripe,135,33.35,69.63,1.0,3.208,473.5,4.57,Low
Mango,Ripe,60,24.51,88.62,1.642,2.377,637.3,5.24,Low
Brinjal,Unripe,125,35.24,65.12,0.562,1.955,447.1,0.0,Low
Mango,Semi-Ripe,152,26.1,68.63,2.153,4.128,576.2,2.16,Medium
Mango,Unripe,33,21.89,57.62,1.052,2.367,415.4,4.76,Low
Banana,Ripe,229,27.28,76.6,0.891,3.701,597.7,7.95,Medium
Onion,Semi-Ripe,59,22.7,84.4,0.245,3.85,624.5,0.98,Low
Tomato,Ripe,88,23.99,87.49,0.77,3.916,630.1,0.28,Low
Tomato,Unripe,5,28.59,70.44,1.297,3.26,676.5,2.86,Low
Onion,Semi-Ripe,143,29.22,74.89,3.393,2.499,535.1,5.09,Medium
Banana,Ripe,143,24.51,66.16,1.488,2.43,648.6,4.48,Low
Tomato,Semi-Ripe,27,30.95,74.34,2.2,2.231,694.9,2.72,Low
Onion,Semi-Ripe,70,31.63,71.77,0.429,0.116,365.4,0.01,Low
Mango,Ripe,184,32.75,68.7,0.915,3.291,427.6,4.03,Medium
Tomato,Ripe,171,29.12,69.65,2.35,2.769,320.5,4.15,Medium
Brinjal,Ripe,74,32.45,73.42,0.537,3.408,627.3,2.4,Low
Brinjal,Unripe,151,19.48,64.47,1.965,2.371,319.0,0.86,Low
Tomato,Unripe,180,25.73,65.09,1.671,3.231,300.0,5.71,Low
Brinjal,Ripe,90,23.53,88.49,1.212,0.985,368.3,5.14,Low
Mango,Ripe,42,27.48,95.0,0.794,1.214,300.0,1.57,Low
Mango,Semi-Ripe,5,24.71,53.55,0.501,0.1,532.7,2.23,Low
Brinjal,Unripe,230,26.34,52.89,3.465,2.352,369.9,4.37,Medium
Tomato,Ripe,77,34.53,56.51,1.556,1.65,300.0,2.55,Low
Tomato,Ripe,194,26.32,66.76,1.269,1.506,495.0,5.72,Medium
Onion,Ripe,78,28.66,78.75,0.749,2.868,502.1,4.37,Medium
Onion,Ripe,171,26.07,75.1,1.027,2.032,300.0,6.49,Low
Onion,Semi-Ripe,80,27.3,70.06,1.122,0.924,414.4,5.36,Low
Brinjal,Ripe,146,27.02,74.35,1.323,5.299,491.0,3.94,Low
Tomato,Semi-Ripe,229,28.79,59.69,1.672,2.459,457.2,10.36,Medium
Mango,Semi-Ripe,181,31.66,65.07,0.578,1.309,460.5,7.46,Medium
Onion,Ripe,39,33.59,67.76,0.358,1.763,641.5,1.78,Medium
Brinjal,Unripe,126,28.24,48.99,1.061,2.31,757.6,4.24,Low
Onion,Unripe,65,29.36,54.06,0.294,2.307,462.4,0.0,Low
Banana,Ripe,52,22.4,54.54,0.797,3.932,341.4,3.17,Low
Banana,Unripe,200,26.65,77.17,0.7,2.413,471.9,7.91,Medium
Brinjal,Ripe,236,30.76,70.94,1.411,4.541,523.3,10.34,High
Brinjal,Ripe,222,30.46,75.33,4.006,2.024,493.6,4.95,Medium
Brinjal,Unripe,202,27.85,45.92,0.256,2.969,573.3,5.53,Medium
Tomato,Ripe,112,30.55,50.2,4.913,3.624,765.4,4.93,Low
Mango,Semi-Ripe,126,28.96,75.96,0.849,3.815,300.0,7.58,Low
Banana,Semi-Ripe,130,31.8,34.66,1.276,3.943,439.2,2.29,Low
Brinjal,Ripe,177,28.16,82.7,0.371,2.201,684.9,9.4,Medium
Onion,Ripe,12,25.58,46.12,2.009,2.494,437.4,2.07,Low
Mango,Ripe,199,28.34,78.12,1.029,0.1,594.7,2.78,Medium
Brinjal,Ripe,194,15.28,57.34,0.958,2.284,575.7,4.26,Low
Brinjal,Ripe,239,28.53,80.59,0.258,3.7,648.4,3.91,Medium
Mango,Semi-Ripe,143,15.0,95.0,1.053,3.487,729.6,4.97,Medium
Tomato,Unripe,110,20.11,40.72,1.808,2.405,540.0,0.85,Low
Brinjal,Unripe,115,28.81,76.34,0.848,4.369,300.0,4.13,Low
Mango,Unripe,149,28.91,46.3,2.275,2.078,416.0,5.48,Low
Mango,Semi-Ripe,72,22.35,73.12,2.21,1.712,762.3,6.03,Low
Mango,Unripe,187,24.15,65.52,0.638,1.985,330.3,5.97,Medium
Mango,Semi-Ripe,106,32.48,69.56,3.054,1.265,559.6,6.33,Low
Tomato,Ripe,67,25.06,57.06,1.032,3.185,300.0,2.21,Low
Tomato,Unripe,177,35.97,77.37,1.035,2.817,337.9,5.33,Medium
Onion,Unripe,81,26.99,50.62,1.072,3.171,606.4,0.0,Low
Tomato,Ripe,19,28.63,82.9,1.05,2.044,504.3,2.52,Low
Banana,Unripe,125,33.47,63.09,0.159,2.436,454.8,4.7,Low
Banana,Ripe,122,27.52,51.17,0.878,0.104,402.3,4.82,Low
Brinjal,Semi-Ripe,70,22.99,87.14,0.385,2.914,300.0,0.51,Low
Mango,Ripe,8,26.56,67.19,3.122,2.609,583.2,1.89,Low
Onion,Ripe,114,26.86,90.89,3.035,1.289,466.0,3.42,Low
Brinjal,Semi-Ripe,186,21.54,82.66,1.815,2.385,317.4,3.96,Low
Banana,Ripe,193,25.98,58.42,0.846,2.216,503.6,6.12,Medium
Onion,Unripe,50,24.03,66.98,0.494,4.441,569.7,2.71,Low
Mango,Unripe,103,30.7,69.45,0.631,1.333,475.9,3.91,Low
Banana,Semi-Ripe,217,27.14,86.32,3.896,2.865,513.9,4.22,Medium
Banana,Ripe,83,25.87,73.25,0.616,1.3,504.6,5.41,Low
Tomato,Ripe,114,26.58,70.12,0.192,1.886,415.2,5.92,Low
Tomato,Ripe,163,27.89,65.6,2.057,2.805,506.5,3.9,Medium
Onion,Semi-Ripe,110,29.47,67.39,2.859,2.268,588.2,8.95,Low
Tomato,Ripe,202,23.0,83.66,3.195,2.493,624.2,3.54,Medium
Tomato,Unripe,86,22.83,68.04,2.069,2.866,594.9,5.34,Low
Tomato,Unripe,118,31.42,63.26,2.319,1.957,419.0,2.2,Low
Banana,Ripe,124,25.35,61.23,1.038,3.473,576.3,5.38,Medium
Mango,Semi-Ripe,179,21.33,61.35,0.234,2.164,555.9,5.9,Medium
Mango,Unripe,81,28.78,51.17,1.02,2.393,414.8,1.65,Low
Onion,Ripe,66,28.85,59.0,1.545,2.897,444.3,3.06,Low
Onion,Semi-Ripe,86,20.88,85.98,0.91,2.75,581.6,6.89,Low
Onion,Unripe,56,27.92,65.52,0.881,3.209,665.2,1.71,Low
Mango,Semi-Ripe,47,29.94,76.45,0.509,2.849,300.0,3.79,Low
Tomato,Unripe,197,28.5,38.25,0.496,3.016,696.8,5.47,Medium
Onion,Ripe,83,29.53,74.82,3.621,2.142,639.7,3.42,Low
Banana,Unripe,65,21.38,66.06,3.714,1.324,523.9,0.16,Low
Onion,Unripe,195,28.32,62.22,0.998,0.93,471.1,6.33,Low
Tomato,Ripe,190,25.79,70.17,1.218,0.662,546.9,4.8,Low
Onion,Unripe,59,25.07,62.05,0.503,4.439,423.1,5.19,Low
Mango,Ripe,73,30.48,42.51,1.568,0.1,478.7,3.79,Low
Brinjal,Ripe,197,32.92,79.07,3.427,3.813,323.0,4.98,Medium
Tomato,Unripe,66,34.18,70.92,0.343,1.597,300.0,3.96,Low
Brinjal,Ripe,207,32.26,64.23,1.384,3.805,779.9,3.21,Medium
Banana,Semi-Ripe,148,26.56,56.41,1.458,0.1,507.6,7.08,Medium
Onion,Unripe,160,28.41,50.36,1.447,2.241,524.4,3.74,Low
Tomato,Ripe,128,30.07,70.69,3.158,4.099,496.3,3.38,Medium
Mango,Ripe,7,27.48,87.36,4.159,3.285,400.7,4.91,Low
Brinjal,Ripe,198,27.52,70.44,0.849,2.129,463.2,5.32,Low
Onion,Ripe,135,30.3,51.41,1.602,0.363,510.9,3.69,Low
Onion,Semi-Ripe,41,26.76,70.7,1.061,1.045,476.4,3.74,Low
Tomato,Unripe,200,24.08,67.36,0.642,4.028,409.7,6.03,Medium
Tomato,Ripe,70,25.34,78.37,1.209,2.117,557.5,3.13,Low
Mango,Ripe,88,29.54,75.28,1.6,2.421,522.6,5.22,Low
Tomato,Ripe,154,27.01,32.17,1.164,2.812,547.1,2.06,Low
Banana,Unripe,68,28.36,74.54,0.54,1.067,584.6,3.79,Low
Banana,Ripe,1,29.68,55.96,0.723,2.948,479.5,3.95,Low
Onion,Ripe,77,25.5,50.94,0.727,2.038,479.7,4.54,Low
Tomato,Unripe,164,30.02,65.74,0.554,2.823,677.9,0.43,Low
Mango,Unripe,101,28.52,72.93,1.245,1.864,386.7,3.48,Medium
Mango,Unripe,171,22.06,48.31,1.34,0.77,300.0,2.37,Low
Banana,Ripe,16,32.77,76.45,1.985,2.03,566.7,5.01,Low
Mango,Unripe,62,25.0,77.16,0.549,3.205,424.5,2.54,Low
Brinjal,Ripe,57,20.38,68.56,0.667,2.933,370.7,5.3,Low
Onion,Ripe,15,22.82,57.59,2.969,2.534,606.2,0.49,Low
Brinjal,Unripe,155,22.92,56.25,0.891,3.488,482.6,5.06,Low
Brinjal,Ripe,50,27.21,80.31,1.021,2.276,348.4,3.11,Low
Tomato,Ripe,113,25.9,49.87,0.885,2.562,732.2,8.83,Low
Onion,Unripe,238,25.65,80.77,2.21,1.972,306.7,7.48,Medium
Banana,Unripe,59,29.48,66.02,2.271,3.552,489.6,5.21,Low
Tomato,Ripe,46,28.36,66.85,2.18,2.821,300.0,6.7,Low
Brinjal,Unripe,224,28.26,47.5,1.019,1.887,532.5,5.7,Medium
Banana,Unripe,86,28.64,66.24,0.543,0.862,423.1,3.35,Low
Onion,Ripe,71,29.46,75.36,3.848,3.715,598.3,2.97,Low
Brinjal,Ripe,173,18.57,51.96,1.821,1.682,497.9,5.17,Low
Onion,Ripe,31,25.54,73.98,0.726,2.579,662.1,0.0,Low
Onion,Unripe,91,18.28,69.07,2.709,5.088,448.4,3.6,Low
Mango,Ripe,48,27.14,60.27,0.687,3.382,307.5,3.48,Low
Mango,Semi-Ripe,214,26.98,78.26,2.684,4.272,528.5,4.79,Medium
Mango,Ripe,71,31.18,41.57,2.815,1.908,469.7,0.6,Low
Mango,Unripe,136,31.75,72.16,0.525,3.678,300.0,3.86,Low
Brinjal,Unripe,125,27.81,87.43,1.503,2.529,373.4,1.24,Low
Onion,Semi-Ripe,118,25.0,85.28,1.729,2.903,411.5,7.11,Low
Banana,Semi-Ripe,15,28.94,72.68,6.237,4.723,686.6,2.22,Low
Onion,Semi-Ripe,63,24.89,64.38,0.595,2.193,584.9,0.0,Low
Brinjal,Ripe,206,26.99,60.37,2.726,2.521,458.3,4.6,Medium
Mango,Ripe,132,30.94,64.36,1.012,1.506,556.5,5.7,Low
Onion,Ripe,211,24.77,74.53,0.419,3.477,300.0,5.35,Medium
Banana,Ripe,134,30.22,58.31,0.919,1.883,432.2,2.46,Medium
Tomato,Semi-Ripe,76,29.71,77.09,1.002,3.625,548.1,2.19,Low
Brinjal,Ripe,83,23.18,93.6,0.477,0.685,519.8,2.98,Low
Onion,Unripe,186,30.9,67.26,1.244,3.104,435.3,3.94,Low
Mango,Ripe,57,29.79,51.87,1.955,1.792,495.4,0.92,Low
Mango,Ripe,144,27.41,51.86,1.181,3.304,540.6,4.11,Low
Brinjal,Unripe,225,23.95,77.32,0.684,2.485,498.9,2.8,Medium
Onion,Unripe,203,23.56,67.28,0.901,1.911,603.3,6.64,Medium
Mango,Ripe,93,24.85,78.52,0.997,2.075,538.2,5.54,Low
Banana,Ripe,66,29.17,61.6,1.164,1.565,561.3,1.49,Low
Brinjal,Unripe,149,23.18,77.97,2.175,3.422,705.6,3.0,Medium
Onion,Unripe,147,28.75,66.1,1.21,1.346,599.3,3.5,Medium
Tomato,Semi-Ripe,174,22.03,59.21,0.375,2.206,708.9,4.53,Medium
Tomato,Semi-Ripe,17,26.18,63.19,0.675,2.88,419.4,3.17,Low
Onion,Semi-Ripe,130,27.44,53.64,1.123,4.275,308.9,4.89,Medium
Banana,Unripe,2,36.78,91.87,2.197,2.49,483.2,3.32,Low
Brinjal,Ripe,238,21.49,66.84,2.481,2.233,472.9,8.15,Medium
Tomato,Ripe,210,32.89,75.73,3.464,2.801,675.1,5.13,Medium
Tomato,Semi-Ripe,178,27.6,61.56,1.096,0.219,364.4,2.29,Low
Brinjal,Ripe,70,28.64,55.38,1.706,1.181,490.5,0.44,Low
Mango,Semi-Ripe,179,27.47,65.19,0.361,2.087,548.6,7.59,Low
Onion,Semi-Ripe,107,28.78,81.21,1.351,1.716,512.0,4.7,Low
Banana,Unripe,156,26.39,61.75,0.471,0.739,479.4,4.74,Low
Onion,Ripe,55,32.82,57.55,0.957,3.444,543.0,3.97,Low
Banana,Semi-Ripe,114,25.17,69.87,8.339,2.786,629.5,4.16,Medium
Brinjal,Semi-Ripe,211,31.53,73.99,1.237,2.654,684.3,5.81,Medium
Brinjal,Ripe,45,24.42,87.71,0.546,1.737,503.9,2.37,Low
Tomato,Unripe,92,26.76,72.25,1.33,2.587,402.1,5.5,Low
Brinjal,Semi-Ripe,70,22.71,75.73,0.696,3.066,684.1,2.4,Low
Onion,Ripe,43,28.82,76.63,0.51,2.209,370.7,1.39,Low
Mango,Unripe,95,32.78,54.16,4.359,2.989,714.9,0.6,Low
Mango,Unripe,146,26.69,56.44,2.11,1.624,661.3,3.82,Low
Banana,Ripe,13,26.21,54.99,1.274,2.607,678.7,4.94,Low
Brinjal,Unripe,49,22.54,52.01,0.76,3.757,582.2,2.26,Low
Mango,Ripe,196,26.08,77.55,0.804,3.855,300.0,2.37,Medium
Mango,Ripe,62,20.63,71.48,2.944,3.96,375.3,3.76,Low
Onion,Unripe,80,23.35,68.95,1.239,2.814,536.8,2.29,Low
Onion,Unripe,162,27.91,36.89,0.116,2.535,418.9,7.23,Low
Banana,Ripe,179,32.28,92.67,5.445,2.006,462.2,6.58,Medium
Mango,Ripe,231,38.24,57.27,1.137,0.512,573.5,2.98,Medium
Mango,Unripe,38,24.65,92.62,1.272,1.021,479.6,2.64,Low
Mango,Semi-Ripe,181,32.74,50.61,2.14,2.315,353.7,3.31,Low
Banana,Ripe,174,27.98,58.25,1.385,2.381,606.3,2.5,Medium
Tomato,Unripe,29,26.4,41.57,1.687,4.053,561.8,2.75,Low
Brinjal,Semi-Ripe,211,28.73,72.35,0.743,3.946,470.1,6.5,Low
Banana,Semi-Ripe,75,27.25,54.78,0.423,1.745,585.4,3.25,Low
Tomato,Ripe,101,27.44,55.12,1.217,3.4,511.4,2.78,Low
Mango,Unripe,191,25.37,51.53,2.724,1.975,659.8,0.82,Medium
Mango,Semi-Ripe,126,21.41,77.33,0.635,3.251,518.1,2.81,Low
Onion,Ripe,66,20.83,76.54,0.601,3.387,658.9,4.29,Low
Onion,Ripe,77,29.61,89.74,2.351,3.866,300.0,1.01,Low
Brinjal,Unripe,178,25.89,59.77,0.726,1.958,555.1,6.94,Low
Brinjal,Unripe,44,24.62,70.63,0.75,3.616,452.3,1.98,Low
Onion,Ripe,113,27.03,52.53,0.77,0.44,396.9,4.2,Low
Brinjal,Ripe,180,30.18,63.98,0.956,3.926,639.0,3.94,Medium
Mango,Unripe,213,27.72,61.77,0.332,2.472,606.7,2.94,Medium
Mango,Semi-Ripe,199,24.38,73.57,0.686,2.496,300.0,5.68,Low
Brinjal,Unripe,86,31.91,80.2,1.175,0.259,585.9,2.46,Low
Banana,Semi-Ripe,47,33.32,79.89,1.169,2.072,571.3,1.56,Low
Banana,Semi-Ripe,225,28.98,57.89,2.249,3.991,413.2,0.92,Low
Onion,Semi-Ripe,143,30.89,79.98,3.624,2.031,399.8,6.56,Low
Onion,Semi-Ripe,98,31.97,67.47,2.883,3.285,309.1,3.69,Low
Brinjal,Ripe,217,31.52,64.1,1.897,2.538,459.5,7.1,Medium
Mango,Semi-Ripe,175,29.46,59.5,0.901,3.669,478.7,5.72,Medium
Banana,Ripe,114,29.39,61.28,0.647,2.711,595.6,5.86,Low
Mango,Semi-Ripe,47,29.08,88.91,1.013,1.475,532.3,2.05,Low
Banana,Semi-Ripe,19,22.61,71.69,1.507,2.562,372.8,0.26,Low
Mango,Unripe,127,29.8,70.1,1.778,4.261,528.7,5.4,Medium
Banana,Unripe,27,21.58,64.85,1.547,3.047,469.5,3.06,Low
Banana,Semi-Ripe,74,23.82,95.0,0.919,2.372,387.8,2.55,Low
Brinjal,Semi-Ripe,164,32.21,83.66,1.735,4.981,309.3,5.8,Medium
Onion,Ripe,3,30.36,59.35,2.417,3.775,575.0,3.09,Low
Banana,Unripe,238,32.95,64.72,1.852,3.398,553.6,6.51,High
Mango,Unripe,105,25.91,65.43,0.978,2.849,566.8,1.92,Low
Tomato,Ripe,209,22.39,69.75,0.558,3.303,412.6,6.77,Medium
Brinjal,Semi-Ripe,41,26.04,59.59,0.549,3.339,520.5,2.98,Low
Onion,Unripe,111,27.41,73.27,0.621,0.1,335.0,5.78,Low
Mango,Unripe,231,27.32,85.43,1.197,2.934,381.6,7.01,Medium
Tomato,Ripe,152,31.53,52.24,1.439,2.323,504.0,5.56,Low
Tomato,Ripe,194,25.55,54.46,0.372,1.95,531.5,4.63,Low
Mango,Semi-Ripe,165,28.41,62.2,0.703,2.285,304.5,5.76,Medium
Onion,Unripe,178,23.05,62.76,1.186,0.789,373.1,6.64,Medium
Brinjal,Semi-Ripe,87,28.8,91.98,0.533,0.515,456.2,4.64,Low
Brinjal,Unripe,109,27.01,80.02,1.355,3.871,615.0,4.17,Low
Mango,Semi-Ripe,11,24.0,79.33,0.806,3.008,402.4,3.91,Low
Onion,Semi-Ripe,62,26.06,64.83,0.603,0.1,516.9,2.3,Low
Banana,Ripe,15,26.26,64.56,1.038,1.866,529.4,5.41,Low
Banana,Ripe,78,25.92,50.58,1.316,3.469,470.0,0.41,Low
Onion,Semi-Ripe,174,34.09,77.38,0.552,2.192,532.2,4.65,Medium
Brinjal,Unripe,49,26.61,73.89,0.844,3.87,338.6,2.36,Low
Mango,Unripe,115,26.02,83.43,1.387,3.655,421.3,2.73,Low
Brinjal,Ripe,133,18.61,65.47,0.587,1.008,672.1,4.65,Low
Mango,Semi-Ripe,39,23.42,66.3,0.313,2.342,680.6,0.94,Low
Brinjal,Semi-Ripe,195,25.95,70.04,0.341,2.007,601.2,8.71,Medium
Tomato,Ripe,185,24.26,78.7,0.746,0.972,632.0,2.29,Medium
Tomato,Ripe,45,32.53,50.36,0.397,0.9,300.0,1.33,Low
Onion,Unripe,8,26.34,76.83,0.784,1.613,386.2,0.71,Low
Tomato,Ripe,1,32.15,67.75,3.207,1.795,462.7,2.87,Low
